LAST SEEN   TYPE      REASON              OBJECT                               MESSAGE
24m         Warning   Unhealthy           pod/guardian-api-58d9c4d97d-v5jnb    Readiness probe failed: Get "http://10.42.0.22:8000/ready": dial tcp 10.42.0.22:8000: connect: connection refused
24m         Normal    SuccessfulCreate    replicaset/guardian-api-58d9c4d97d   Created pod: guardian-api-58d9c4d97d-2h4b5
24m         Normal    Created             pod/guardian-api-58d9c4d97d-2h4b5    Container created
24m         Normal    Created             pod/guardian-api-58d9c4d97d-dtxtm    Container created
24m         Normal    Pulled              pod/guardian-api-58d9c4d97d-dtxtm    Container image "kube-ai-guardian:0.1" already present on machine and can be accessed by the pod
24m         Normal    SuccessfulCreate    replicaset/guardian-api-58d9c4d97d   Created pod: guardian-api-58d9c4d97d-dtxtm
24m         Normal    ScalingReplicaSet   deployment/guardian-api              Scaled up replica set guardian-api-58d9c4d97d from 0 to 2
24m         Normal    Started             pod/guardian-api-58d9c4d97d-2h4b5    Container started
24m         Normal    Started             pod/guardian-api-58d9c4d97d-dtxtm    Container started
24m         Normal    Pulled              pod/guardian-api-58d9c4d97d-2h4b5    Container image "kube-ai-guardian:0.1" already present on machine and can be accessed by the pod
8m46s       Normal    SuccessfulCreate    replicaset/guardian-api-58d9c4d97d   Created pod: guardian-api-58d9c4d97d-lvvx6
8m46s       Normal    ScalingReplicaSet   deployment/guardian-api              Scaled up replica set guardian-api-58d9c4d97d from 2 to 3
8m45s       Normal    Started             pod/guardian-api-58d9c4d97d-lvvx6    Container started
8m45s       Normal    Created             pod/guardian-api-58d9c4d97d-lvvx6    Container created
8m45s       Normal    Pulled              pod/guardian-api-58d9c4d97d-lvvx6    Container image "kube-ai-guardian:0.1" already present on machine and can be accessed by the pod
6m23s       Normal    Started             pod/guardian-api-58d9c4d97d-fsnsb    Container started
6m23s       Normal    Pulled              pod/guardian-api-58d9c4d97d-g22sc    Container image "kube-ai-guardian:0.1" already present on machine and can be accessed by the pod
6m23s       Normal    SuccessfulDelete    replicaset/guardian-api-58d9c4d97d   Deleted pod: guardian-api-58d9c4d97d-dtxtm
6m23s       Normal    SuccessfulDelete    replicaset/guardian-api-58d9c4d97d   Deleted pod: guardian-api-58d9c4d97d-lvvx6
6m23s       Normal    SuccessfulCreate    replicaset/guardian-api-58d9c4d97d   Created pod: guardian-api-58d9c4d97d-g22sc
6m23s       Normal    SuccessfulCreate    replicaset/guardian-api-58d9c4d97d   Created pod: guardian-api-58d9c4d97d-fsnsb
6m23s       Normal    Created             pod/guardian-api-58d9c4d97d-g22sc    Container created
6m23s       Normal    Started             pod/guardian-api-58d9c4d97d-g22sc    Container started
6m23s       Normal    Created             pod/guardian-api-58d9c4d97d-fsnsb    Container created
6m23s       Normal    Killing             pod/guardian-api-58d9c4d97d-lvvx6    Stopping container guardian-api
6m23s       Normal    Pulled              pod/guardian-api-58d9c4d97d-fsnsb    Container image "kube-ai-guardian:0.1" already present on machine and can be accessed by the pod
6m23s       Normal    Killing             pod/guardian-api-58d9c4d97d-dtxtm    Stopping container guardian-api
6m23s       Normal    ScalingReplicaSet   deployment/guardian-api              Scaled down replica set guardian-api-58d9c4d97d from 3 to 1
6m23s       Normal    ScalingReplicaSet   deployment/guardian-api              Scaled up replica set guardian-api-58d9c4d97d from 1 to 3
